31.43,1,1.89
31.43,2,0.99
29.42,3,0.88
29.42,4,0.86
28.37,5,0.85
28.37,6,0.82
27.71,7,0.85
26.97,8,0.79
26.61,9,0.85
24.95,10,0.82
24.95,11,0.79
24.95,12,0.87
30.16,1,3.16
29.87,2,1.45
29.87,3,1.36
28.11,4,1.33
27.61,5,1.37
27.61,6,1.36
26.76,7,1.36
26.76,8,1.38
25.77,9,1.35
25.6,10,1.41
25.55,11,1.3
25.55,12,1.22
24.38,13,1.3
24.34,14,1.31
23.96,15,1.29
22.74,16,1.25
22.74,17,1.28
22.67,18,1.06
22.67,19,1.2
22.67,20,1.25
22.67,21,1.14
22.67,22,1.27
22.67,23,1.24
22.67,24,1.3
22.67,25,1.22
22.67,26,1.19
22.67,27,1.21
22.67,28,1.24
22.6,29,1.3
22.6,30,1.25
22.6,31,1.24
22.6,32,1.32
22.6,33,1.33
22.6,34,1.24
22.6,35,1.28
22.53,36,1.29
22.53,37,1.17
22.25,38,1.29
22.25,39,1.23
22.05,40,1.35
22.05,41,1.28
22.05,42,1.42
22.05,43,1.34
21.46,44,1.23
21.07,45,1.21
21.07,46,1.27
21.07,47,1.14
20.52,48,1.29
20.28,49,1.31
20.28,50,1.23
